ID	Document Title	Authors	Publication Title	Publication Date	Abstract	Keywords							
391	Recent Advances in AI for Computational Sustainability	Fisher, D.H.	Intelligent Systems, IEEE	20120824	This article intends, at a minimum, to give the briefest glimpse of the papers from the 2011 AAAI Computational Sustainability track, so that interested readers could follow up. Collectively, however, the contributions include representations of much that it might hope to see in an environmentally minded cognitive agent, with competencies in sensing and observation, knowledge-based reasoning, decision-making, and actuation. The creation of such agents could be an exciting and important ambition, with attention paid to agent communication as well. In the near term, however, AI will offer important, albeit specialized, cognitive tools for decision-makers. It is critical that these tools are adopted, adapted, and used by humans. Thus, it is vital that as part of our evaluation methodologies, it move beyond questions concerning technical optimality, and that it work with social, behavioral, and economic scientists to understand the social contexts in which our tools are used (or not)!	built environment.;natural environment;sustainability,Artificial intelligence;Computational modeling;Data models,cognitive systems;decision making;inference mechanisms;multi-agent systemsAI;agent communication;artificial intelligence;cognitive agent;cognitive tools;computational sustainability;decision-making;knowledge-based reasoning							
392	A Discrete Evolutionary Model for Chess Players' Ratings	Fenner, T.; Levene, M.; Loizou, G.	Computational Intelligence and AI in Games, IEEE Transactions on	20120612	The Elo system for rating chess players, also used in other games and sports, was adopted by the World Chess Federation over four decades ago. Although not without controversy, it is accepted as generally reliable and provides a method for assessing players' strengths and ranking them in official tournaments. It is generally accepted that the distribution of players' rating data is approximately normal but, to date, no stochastic model of how the distribution might have arisen has been proposed. We propose such an evolutionary stochastic model, which models the arrival of players into the rating pool, the games they play against each other, and how the results of these games affect their ratings, in a similar manner to the Elo system. Using a continuous approximation to the discrete model, we derive the distribution for players' ratings at time t as a normal distribution, where the variance increases in time as a logarithmic function of t. We validate the model using published rating data from 2007-2010, showing that the parameters obtained from the data can be recovered through simulations of the stochastic model. The distribution of players' ratings is only approximately normal and has been shown to have a small negative skew. We show how to modify our evolutionary stochastic model to take this skewness into account, and we validate the modified model using the published official rating data.	Distribution of rating data;Elo rating system;evolutionary stochastic model,Approximation methods;Data models;Games;Reliability;Simulation;Stochastic processes;Uncertainty,approximation theory;evolutionary computation;sport;stochastic gamesElo system;World Chess Federation;chess player rating distribution;continuous approximation;discrete evolutionary model;evolutionary stochastic model;official tournament;sports							
393	Chemical Detection Using the Receptor Density Algorithm	Hilder, J.A.; Owens, N.D.L.; Neal, M.J.; Hickey, P.J.; Cairns, S.N.; Kilgour, D.P.A.; Timmis, J.; Tyrrell, A.M.	Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on	20121221	This paper describes the application of the receptor density algorithm, an artificial immune system, as used to detect chemicals from data provided by various spectrometers. The system creates chemical signatures which are matched to a library of known chemicals, allowing the positive identification of hazardous substances. The performance of the system is tested against a publicly available mass-spectrometry dataset, against which it has previously been demonstrated as an effective anomaly detection algorithm. An autonomous chemical-detection device is then discussed, in which the algorithm is running on hardware embedded in a Pioneer robot carrying a portable chemical agent monitor.	Biological techniques;chemical sensors;hazardous materials;spectroscopy,Algorithm design and analysis;Analytical models;Chemicals;Computer aided manufacturing;Negative feedback;Robot sensing systems,artificial immune systems;chemical sensors;data analysis;hazardous materials;mass spectroscopic chemical analysis;mass spectroscopy;mobile robots;spectroscopy computingAIS;CAM;Pioneer robot;RDA;anomaly detection algorithm;artificial immune system;autonomous chemical-detection device;chemical signatures;mass-spectrometry dataset;portable chemical agent monitor;receptor density algorithm;spectrometers							
394	Energy-Efficient Video Multicast in 4G Wireless Systems	Ya-Ju Yu; Pi-Cheng Hsiu; Ai-Chun Pang	Mobile Computing, IEEE Transactions on	20120816	Layer-based video coding, together with adaptive modulation and coding, is a promising technique for providing real-time video multicast services on heterogeneous mobile devices. With the rapid growth of data communications for emerging applications, reducing the energy consumption of mobile devices is a major challenge. This paper addresses the problem of resource allocation for video multicast in fourth-generation wireless systems, with the objective of minimizing the total energy consumption for data reception. First, we consider the problem when scalable video coding is applied. We prove that the problem is NP-hard and propose a 2-approximation algorithm to solve it. Then, we investigate the problem under multiple description coding, and show that it is also NP-hard and cannot be approximated in polynomial time with a ratio better than 2, unless P = NP. To solve this case, we develop a pseudopolynomial time 2-approximation algorithm. The results of simulations conducted to compare the proposed algorithms with a brute-force optimal algorithm and a conventional approach are very encouraging.	4G wireless systems.;Energy efficiency;adaptive modulation and coding;multiple description coding;scalable video coding;video multicast,Approximation algorithms;Energy consumption;Modulation;Resource management;Static VAr compensators;Streaming media,4G mobile communication;adaptive codes;adaptive modulation;computational complexity;resource allocation;video coding2-approximation algorithm;4G wireless systems;NP-hard problem;adaptive coding;adaptive modulation;data communications;data reception;energy consumption;energy-efficient video multicast;fourth-generation wireless systems;heterogeneous mobile devices;layer-based video coding;multiple description coding;real-time video multicast services;resource allocation;scalable video coding							
395	Planning with Markov Decision Processes:An AI Perspective		Planning with Markov Decision Processes:An AI Perspective	20140702	Markov Decision Processes (MDPs) are widely popular in Artificial Intelligence for modeling sequential decision-making scenarios with probabilistic dynamics. They are the framework of choice when designing an intelligent agent that needs to act for long periods of time in an environment where its actions could have uncertain outcomes. MDPs are actively researched in two related subareas of AI, probabilistic planning and reinforcement learning. Probabilistic planning assumes known models for the agent's goals and domain dynamics, and focuses on determining how the agent should behave to achieve its objectives. On the other hand, reinforcement learning additionally learns these models based on the feedback the agent gets from the environment. This book provides a concise introduction to the use of MDPs for solving probabilistic planning problems, with an emphasis on the algorithmic perspective. It covers the whole spectrum of the field, from the basics to state-of-the-art optimal and a proximation algorithms. We first describe the theoretical foundations of MDPs and the fundamental solution techniques for them. We then discuss modern optimal algorithms based on heuristic search and the use of structured representations. A major focus of the book is on the numerous approximation schemes for MDPs that have been developed in the AI literature. These include determinization-based approaches, sampling techniques, heuristic functions, dimensionality reduction, and hierarchical representations. Finally, we briefly introduce several extensions of the standard MDP classes that model and solve even more complex planning problems. Table of Contents: Introduction / MDPs / Fundamental Algorithms / Heuristic Search Algorithms / Symbolic Algorithms / Approximation Algorithms / Advanced Notes								
396	Effect of annealing on interfacial and band alignment characteristics of HfO2/SiO2 gate stacks on Ge substrates	Li, Xue-Fei; Liu, Xiao-Jie; Fu, Ying-Ying; Li, Ai-Dong; Zhang, Wen-Qi; Li, Hui; Wu, Di	Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures	20111215	The authors have investigated the effect of 500 �C annealing for 60 s in N2 on interfacial and band alignment characteristics of HfO2/SiO2 gate stacks on n-type Ge substrates. X-ray photoelectron spectroscopy analyses reveal that the SiO2 interlayer can effectively suppress Ge outdiffusion during HfO2 growth and subsequent postdeposition annealing process. The electrical measurement shows that capacitance equivalent thickness of 1.75 nm and a leakage current density of 3.9 � 10-3 A/cm2 at gate bias of flatband voltage (Vfb) + 1 V was obtained for the annealed sample. The conduction band offsets at the HfO2/SiO2/Ge with and without annealing are found to be 2.22 and 2.07 eV, respectively.	X-ray photoelectron spectra;annealing;capacitance;conduction bands;hafnium compounds;leakage currents;silicon compounds7320At;7960Jv;8140Gh,							
397	An Enhanced Soft Value Calculation for LDPC Coded Pulse-Position-Modulation	Yongsheng Wu; Aiying Yang; Yu-nan Sun; Chunxue Yang	Communications Letters, IEEE	20120511	In this letter, a simplified soft value extraction algorithm for LDPC coded PPM modulated signals is presented. The Monte Carlo simulations are applied to get the BER curves of the system based on the simplified AWGN channel. Through rearranging the soft value by the exponential function, we get an even better performance of the system.	Pulse position modulation (PPM);additive white Gaussian noise (AWGN);belief propagation (BP) algorithm;low density parity check (LDPC) codes,Adaptive optics;Bit error rate;Modulation;Optical pulses;Optical transmitters;Parity check codes;Signal to noise ratio,AWGN channels;Monte Carlo methods;channel coding;error statistics;modulation coding;parity check codes;pulse position modulationBER curves;LDPC coded PPM modulated signals;LDPC coded pulse-position-modulation;Monte Carlo simulations;additive white Gaussian noise channel;enhanced soft value calculation;exponential function;low density parity check codes;simplified AWGN channel;simplified soft value extraction algorithm							
398	Nanowire FET Biosensors on a Bulk Silicon Substrate	Ahn, J.-H.; Kim, J.-Y.; Choi, K.; Moon, D.-I.; Kim, C.-H.; Seol, M.-L.; Park, T. J.; Lee, S. Y.; Choi, Y.-K.	Electron Devices, IEEE Transactions on	20120723	A biosensor based on a nanowire field-effect transistor is demonstrated on a bulk silicon wafer for low-cost applications. The silicon nanowire is fabricated using a simple reactive-ion etching technique known as the Bosch process. The sensor operation of the fabricated device is confirmed as a proof of concept by detecting the negatively and positively charged polymers on the nanowire surface in real time. The drain current of the device is clearly modulated by the charge polarity of the polymers. In addition, the specific binding of the antigen and the antibody for avian influenza is also detected by a real-time label-free electrical method for practical applications. Control experiments support that a charged species only on the nanowire surface leads to a significant change in the drain current of the sensor. The proposed approach in bulk nanowire biosensors paves the way for the application of complementary metalﾖoxideﾖsemiconductor technology for low-cost and miniaturized biosensors without external transducers; this approach is attractive in disposable and portable applications.	Avian influenza (AI);Bosch process;biosensor;bulk substrate;field-effect transistor (FET);nanowire,Biosensors;FETs;Logic gates;Nanobioscience;Plastics;Silicon;Substrates							
399	A Cluster and Gradient-Based Artificial Immune System Applied in Optimization Scenarios	de Mello Honorio, L.; Leite da Silva, A.M.; Barbosa, D.A.	Evolutionary Computation, IEEE Transactions on	20120524	The main objective of this paper is to use artificial immune systems (AIS) in optimization problems. For this purpose, two major immunological principles presented in the literature are revisited: hypermutation, which is responsible for local search, and receptor edition, used to explore different areas in the solution space. This paper presents three major modifications divided into two different goals. The first goal is to speed up the convergence of each individual. This is done through a new hypermutation approach that uses the numerical information provided by the optimization system to drive the cloning process to interesting directions into the solution space. The second goal regards the reduction of the computational effort necessary to simulate the whole population. This is accomplished by adding to the AIS algorithm two more features of the natural immune system: maturation control and memory cells. The maturation control analyzes the antibodies and, during the convergence process, eliminates possible redundancies, represented by individuals driving to the same local optimum. The last proposed improvement is the use of memory cells in dynamic-optimization scenarios. In such situations, a repertoire of successful cases is used to forecast part of the initial population. Combining these concepts together decreases the number of antibodies, generations, and clones, consequently speeding up the convergence process. Applications illustrate the performance of the proposed method.	Artificial immune systems;clustering;gradient-based algorithms;nonlinear optimization,Cloning;Clustering algorithms;Convergence;Immune system;Optimization;TV;Vectors,artificial immune systems;dynamic programming;gradient methods;numerical analysis;pattern clusteringAIS;cloning process;cluster based artificial immune system;convergence process;dynamic optimization scenarios;gradient based artificial immune system;hypermutation approach;immunological principles;maturation control;numerical information;optimization scenarios;optimization system							
400	Unsupervised Modeling of Player Style With LDA	Gow, J.; Baumgarten, R.; Cairns, P.; Colton, S.; Miller, P.	Computational Intelligence and AI in Games, IEEE Transactions on	20120911	Computational analysis of player style has significant potential for video game design: it can provide insights into player behavior, as well as the means to dynamically adapt a game to each individual's style of play. To realize this potential, computational methods need to go beyond considerations of challenge and ability and account for aesthetic aspects of player style. We describe here a semiautomatic unsupervised learning approach to modeling player style using multiclass linear discriminant analysis (LDA). We argue that this approach is widely applicable for modeling player style in a wide range of games, including commercial applications, and illustrate it with two case studies: the first for a novel arcade game called Snakeotron, and the second for Rogue Trooper, a modern commercial third-person shooter video game.	$k$-means clustering;Adaptive games;linear discriminant analysis (LDA);log analysis;player style;player types;video games,Adaptation models;Computational modeling;Data models;Games;Linear discriminant analysis;Measurement;Principal component analysis,computer games;social aspects of automation;unsupervised learningLDA;Rogue Trooper;Snakeotron;aesthetic aspect;arcade game;computational analysis;modern commercial third-person shooter video game;multiclass linear discriminant analysis;player behavior;player style modeling;semiautomatic unsupervised learning;unsupervised modeling;video game design							
401	IEEE Transactions on Computational Intelligence and AI in Games information for authors		Computational Intelligence and AI in Games, IEEE Transactions on	20120612	Provides instructions and guidelines to prospective authors who wish to submit manuscripts.								
402	Comparative Rate-Distortion-Complexity Analysis of HEVC and AVC Video Codecs	Vanne, J.; Viitanen, M.; Hamalainen, T.D.; Hallapuro, A.	Circuits and Systems for Video Technology, IEEE Transactions on	20130107	This paper analyzes the rate-distortion-complexity of High Efficiency Video Coding (HEVC) reference video codec (HM) and compares the results with AVC reference codec (JM). The examined software codecs are HM 6.0 using Main Profile (MP) and JM 18.0 using High Profile (HiP). These codes are benchmarked under the all-intra (AI), random access (RA), low-delay B (LB), and low-delay P (LP) coding configurations. In order to obtain a fair comparison, JM HiP anchor codec has been configured to conform to HM MP settings and coding configurations. The rate-distortion comparisons rely on objective quality assessments, i.e., bit rate differences for equal PSNR. The complexities of HM and JM have been profiled at the cycle level with Intel VTune on Intel Core 2 Duo processor. The coding efficiency of HEVC is drastically better than that of AVC. According to our experiments, the average bit rate decrements of HM MP over JM HiP are 23%, 35%, 40%, and 35% under the AI, RA, LB, and LP configurations, respectively. However, HM achieves its coding gain with a realistic overhead in complexity. Our profiling results show that the average software complexity ratios of HM MP and JM HiP encoders are 3.2� in the AI case, 1.2� in the RA case, 1.5� in the LB case, and 1.3� in the LP case. The respective ratios with HM MP and JM HiP decoders are 2.0�, 1.6�, 1.5�, and 1.4�. This paper also reveals the bottlenecks of HM codec and provides implementation guidelines for future real-time HEVC codecs.	Decoder;HEVC test model (HM);encoder;high efficiency video coding (HEVC);rate-distortion-complexity,Bit rate;Complexity theory;Decoding;Encoding;Rate-distortion;Video codecs;Video coding,video codecs;video codingAI configurations;AVC video codecs;HEVC codecs;HM 6.0;HM MP settings;Intel Core 2 Duo processor;Intel VTune;JM 18.0;JM HiP anchor codec;LB configurations;LP configurations;PSNR;RA configurations;advanced video coding;all-intra coding configurations;bit rate decrements;bit rate differences;cycle level;high efficiency video coding;high profile;low-delay B coding configurations;low-delay P coding configurations;main profile;objective quality assessments;random access coding configurations;rate-distortion-complexity analysis;reference video codec;software complexity ratios							
403	Thinking Otherwise		The Machine Question:Critical Perspectives on AI, Robots, and Ethics	20121008	This chapter contains sections titled: Introduction, Decentering the Subject, The Ethics of Social Construction, Another Alternative, Ulterior Morals								
404	Elegance in Game Design	Browne, C.	Computational Intelligence and AI in Games, IEEE Transactions on	20120911	This paper explores notions of elegance and shibui in combinatorial game design, and describes simple computational models for their estimation. Elegance is related to a game's simplicity, clarity, and efficiency, while shibui is a more complex concept from Japanese aesthetics that also incorporates depth. These provide new metrics for quantifying and categorizing games that are largely independent of existing measurements such as tractability and quality. Relevant ideas from Western and Eastern aesthetics are introduced, the meaning of elegance and shibui in combinatorial games is examined, and methods for estimating these values empirically are derived from complexity analyses. Elegance and shibui scores are calculated for a number of example games, for comparison. Preliminary results indicate shibui estimates to be more reliable than elegance estimates.	Combinatorial game;computational aesthetics;elegance;game complexity;game design;shibui,Art;Complexity theory;Computational modeling;Games;Humans;Measurement;Uncertainty,combinatorial mathematics;computational complexity;game theoryJapanese aesthetics;combinatorial game design;complexity analyses;computational models;eastern aesthetics;elegance estimates;game design;shibui;western aesthetics							
405	A Real-Valued Parallel Clonal Selection Algorithm and Its Application to the Design Optimization of Multi-Layered Frequency Selective Surfaces	Bayraktar, Z.; Bossard, J.A.; Wang, Xiande; Werner, D.H.	Antennas and Propagation, IEEE Transactions on	20120405	A parallelized real-valued clonal selection algorithm (CLONALG) is successfully implemented in this paper utilizing message passing interface (MPI) to reduce the computational burden of a large clone pool. CLONALG is one of the many branches of Artificial Immune System (AIS) algorithms with unique inherent properties that make it a very efficient optimization techniques for multimodal problems such as the ones commonly encountered in computational electromagnetic design. As a demonstration of its effectiveness, a numerical study is carried out with known benchmark functions along with the optimization of multi-layered frequency selective surface (FSS) filters in the X-band. Our results show that the CLONALG can consistently outperform a standard GA implementation particularly in multi-modal optimization problems.	Clonal selection algorithm (CLONALG);frequency selective surface (FSS);genetic algorithm;multi-modal;optimization,Biological cells;Cloning;Electromagnetics;Frequency selective surfaces;Genetic algorithms;Immune system;Optimization,application program interfaces;artificial immune systems;computational electromagnetics;frequency selective surfaces;genetic algorithms;message passingAIS algorithm;GA implementation;MPI;X-band;artificial immune system algorithm;benchmark function;computational electromagnetic design;message passing interface;multilayered FSS filter;multilayered frequency selective surface filter;multimodal optimization problem;parallelized real-valued CLONALG;parallelized real-valued clonal selection algorithm							
406	Monte Carlo Tree Search for the Hide-and-Seek Game Scotland Yard	Nijssen, P.; Winands, M.H.M.	Computational Intelligence and AI in Games, IEEE Transactions on	20121211	This paper describes how Monte Carlo tree search (MCTS) can be applied to the hide-and-seek game Scotland Yard. This game is essentially a two-player game in which the players are moving on a graph-based map. First, we discuss how determinization is applied to handle the imperfect information in the game. We show how using determinization in a single tree performs better than using separate trees for each determinization. We also propose a new technique, called location categorization, that biases the possible locations of the hider. The experimental results reveal that location categorization is a robust technique, and significantly increases the performance of the seekers. Next, we describe how to handle the coalition of the seekers by using coalition reduction. This technique balances each seeker's participation in the coalition. Coalition reduction improves the performance of the seekers significantly. Furthermore, we explain how domain knowledge is incorporated by applying ?-greedy playouts and move filtering. Finally, we compare the MCTS players to minimax-based players, and we test the performance of our MCTS player against a commercial Scotland Yard program on the Nintendo DS. Based on the results, we may conclude that the MCTS-based hider and seekers play at a strong level.	Cooperation in games;Monte Carlo tree search (MCTS);Scotland Yard;imperfect information,Artificial intelligence;Computers;Games;History;Image edge detection;Monte Carlo methods;Reliability,Monte Carlo methods;computer games;search problems?-greedy playouts;MCTS;Monte Carlo tree search;Nintendo DS;Scotland Yard;coalition reduction;domain knowledge;graph-based map;hide-and-seek game;location categorization;move filtering;two-player game							
407	IEC 62243 Ed. 1 (IEEE Std 1232(TM)-2002): Standard for Artificial Intelligence Exchange and Service Tie to All Test Environments (AI- ESTATE)		IEC 62243 First edition 2005-07 IEEE 1232	20120629	Replaces IEEE Std 1232-2002 / Dual logo standard AI-ESTATE is a set of specifications for data interchange and for standard services for the test and diagnostic environment. The purpose of AI-ESTATE is to standardize interfaces between functional elements of an intelligent diagnostic reasoner and representations of diagnostic knowledge and data for use by such diagnostic reasoners. Formal information models are defined to form the basis for a format to facilitate exchange of persistent diagnostic information between two reasoners, and also to provide a formal typing system for diagnostic services. This standard then defines the services to manipulate diagnostic information and to control a diagnostic reasoner.	AI-ESTATE;diagnosis;diagnostic interference;diagnostic model;diagnostic services;dynamic content;fault tree;knowledge exchange;system test,Artificial intelligence;Customer services;Electronic mail;Fault diagnosis;IEC standards;IEEE standards;Knowlege management							
408	IEEE Transactions on Computational Intelligence and AI in Games publication information		Computational Intelligence and AI in Games, IEEE Transactions on	20120315	Provides a listing of current staff, committee members and society officers.								
409	References		The Machine Question:Critical Perspectives on AI, Robots, and Ethics	20121008	"One of the enduring concerns of moral philosophy is deciding who or what is deserving of ethical consideration. Much recent attention has been devoted to the ""animal question""--consideration of the moral status of nonhuman animals. In this book, David Gunkel takes up the ""machine question"": whether and to what extent intelligent and autonomous machines of our own making can be considered to have legitimate moral responsibilities and any legitimate claim to moral consideration. The machine question poses a fundamental challenge to moral thinking, questioning the traditional philosophical conceptualization of technology as a tool or instrument to be used by human agents. Gunkel begins by addressing the question of machine moral agency: whether a machine might be considered a legitimate moral agent that could be held responsible for decisions and actions. He then approaches the machine question from the other side, considering whether a machine might be a moral patient due legitimate moral consideration. Finally, Gunkel considers some recent innovations in moral philosophy and critical theory that complicate the machine question, deconstructing the binary agent--patient opposition itself. Technological advances may prompt us to wonder if the science fiction of computers and robots whose actions affect their human companions (think of HAL in 2001: A Space Odyssey) could become science fact. Gunkel's argument promises to influence future considerations of ethics, ourselves, and the other entities who inhabit this world."								
410	Analytical Model of Magnetic Force for Axial Stack Permanent-Magnet Bearings	Lu-Lin Tian; Xun-Peng Ai; Ya-Qi Tian	Magnetics, IEEE Transactions on	20120920	Based on magnetic field of plane point magnetic charge, virtual work principle, and superposition theorem, the magnetic force analytical model for axial stack permanent-magnet bearings (PMB) is established. The aim is to solve the problem of the magnetic force analytical model's lack of being convenient in engineering design calculation of axial stack PMB. The relationship between magnetic force and structure parameters of PMB is analyzed. ANSYS simulation is adopted to test the validity of the magnetic force analytical model. The results indicate that the magnetic force of axial stack PMB is proportional to the magnetic annular average perimeter and the square of residual magnetism induction density, and that the magnetic force increases with an increment in the magnetic annular radial width and magnetic annular number. In the case of similar geometric parameters, the magnetic force of the same direction magnetization axial stack PMB is minimum: when the number of stack magnetic ring is 4, the maximum magnetic force of reversal magnetization axial stack PMB is approximately 4 times as much as the maximum magnetic force of equi-directional magnetization axial stack PMB; when the axial offset is only half of the axial length of single magnetic ring, the axial magnetic force is the maximum. Accordingly, the maximum magnetic force of rotational magnetization axial stack PMB is roughly 1.5 times as much as the maximum magnetic force of reversal magnetization axial stack PMB. When the axial deflection is equal to the axial length of single magnetic ring, the axial magnetic force is the maximum.	ANSYS simulation;Analytical model;axial stack;magnetic force;permanent-magnet bearings,Analytical models;Finite element methods;Magnetic forces;Magnetic levitation;Magnetization;Superconducting magnets,machine bearings;magnetic fields;magnetic forces;magnetisation;permanent magnetsANSYS simulation;axial direction;equidirectional magnetization;equidirectional magnetization axial stack PMB;geometric parameter;magnetic annular average perimeter;magnetic annular number;magnetic field;magnetic force analytical model;magnetic ring;permanent magnet bearing;plane point magnetic charge;reversal magnetization;reversal magnetization axial stack PMB;rotational magnetization axial stack PMB;structure parameter;superposition theorem;virtual work principle							
411	Information Set Monte Carlo Tree Search	Cowling, P.I.; Powley, E.J.; Whitehouse, D.	Computational Intelligence and AI in Games, IEEE Transactions on	20120612	Monte Carlo tree search (MCTS) is an AI technique that has been successfully applied to many deterministic games of perfect information. This paper investigates the application of MCTS methods to games with hidden information and uncertainty. In particular, three new information set MCTS (ISMCTS) algorithms are presented which handle different sources of hidden information and uncertainty in games. Instead of searching minimax trees of game states, the ISMCTS algorithms search trees of information sets, more directly analyzing the true structure of the game. These algorithms are tested in three domains with different characteristics, and it is demonstrated that our new algorithms outperform existing approaches to handling hidden information and uncertainty in games.	Artificial intelligence (AI);Monte Carlo methods;Monte Carlo tree search (MCTS);game tree search;hidden information;uncertainty,Algorithm design and analysis;Artificial intelligence;Computational modeling;Decision making;Games;Monte Carlo methods;Uncertainty,Monte Carlo methods;artificial intelligence;game theory;tree searchingAI technique;ISMCTS method;artificial intelligence;deterministic games;game uncertainty;hidden information;information set Monte carlo tree search							
412	A New Control Architecture for Robust Controllers in Rear Electric Traction Passenger HEVs	Sampaio, R.C.B.; Hernandes, A.C.; do Valle Magalha&#x0303;es Fernandes, V.; Becker, M.; Siqueira, A.A.G.	Vehicular Technology, IEEE Transactions on	20121012	It is well known that control systems are the core of electronic differential systems (EDSs) in electric vehicles (EVs)/hybrid HEVs (HEVs). However, conventional closed-loop control architectures do not completely match the needed ability to reject noises/disturbances, especially regarding the input acceleration signal incoming from the driver's commands, which makes the EDS (in this case) ineffective. Due to this, in this paper, a novel EDS control architecture is proposed to offer a new approach for the traction system that can be used with a great variety of controllers (e.g., classic, artificial intelligence (AI)-based, and modern/robust theory). In addition to this, a modified proportional-integral derivative (PID) controller, an AI-based neuro-fuzzy controller, and a robust optimal H? controller were designed and evaluated to observe and evaluate the versatility of the novel architecture. Kinematic and dynamic models of the vehicle are briefly introduced. Then, simulated and experimental results were presented and discussed. A Hybrid Electric Vehicle in Low Scale (HELVIS)-Sim simulation environment was employed to the preliminary analysis of the proposed EDS architecture. Later, the EDS itself was embedded in a dSpace 1103 high-performance interface board so that real-time control of the rear wheels of the HELVIS platform was successfully achieved.	Control architecture;control system;electronic differential system (EDS);hybrid electric vehicle (HEV);hybrid electric vehicle in low scale (HELVIS) mini-HEV,Artificial neural networks;Control systems;Fuzzy control;Robustness;Surface treatment;Vehicles;Wheels,H? control;control system analysis;fuzzy control;hybrid electric vehicles;machine control;neurocontrollers;power transmission (mechanical);road vehicles;robust control;three-term controlHELVIS-Sim simulation;PID controller;artificial intelligence based neuro-fuzzy controller;control architecture;electronic differential system;hybrid electric vehicle in low scale-Sim simulation;hybrid electric vehicles;proportional integral derivative controller;rear electric traction passenger hev;robust controller;robust optimal H? controller							
413	Operation mechanism of Schottky barrier nonvolatile memory with high conductivity InGaZnO active layer	Thuy Trinh, Thanh; Duy Nguyen, Van; Hanh Nguyen, Hong; Raja, Jayapal; Jang, Juyeon; Jang, Kyungsoo; Baek, Kyunghyun; Ai Dao, Vinh; Yi, Junsin	Applied Physics Letters	20120405	Influence of Schottky contact between source/drain electrodes and high conductivity a-InGaZnO active layer to the performance of nonvolatile memory devices was first proposed. The Schottky barrier devices faced to the difficulty on electrical discharging process due to the energy barrier forming at the interface, which can be resolved by using Ohmic devices. A memory window of 2.83 V at programming/erasing voltage of ﾱ13 V for Ohmic and 5.58 V at programming voltage of 13 V and light assisted erasing at -7 V for Schottky devices was obtained. Both memory devices using SiO2/SiOx/SiOxNy stacks showed a retention exceeding 70% of trapped charges 10 yr with operation voltages of ﾱ13 V at an only programming duration of 1 ms.	II-VI semiconductors;Schottky barriers;amorphous semiconductors;electrical conductivity;gallium compounds;indium compounds;ohmic contacts;random-access storage;wide band gap semiconductors;zinc compounds8430Sk,							
414	On the Construction of Cryptographically Significant Boolean Functions Using Objects in Projective Geometry Spaces	Pasalic, E.; Yongzhuang Wei	Information Theory, IEEE Transactions on	20120911	Recently, several construction methods of highly nonlinear Boolean functions with relatively good algebraic properties were proposed. These approaches manage in optimizing most of the relevant cryptographic criteria, but not all of them at the same time. Usually, either the nonlinearity bounds are rather loose (though the actual nonlinearity is relatively high) or the functions do not provide a good resistance to fast algebraic cryptanalysis. In this paper, we develop a theoretical framework for using objects in suitable projective geometry spaces for construction of highly nonlinear Boolean functions. This allows us to establish tight bounds on the nonlinearity using simple counting arguments, thus avoiding rather complicated estimates of certain trace sums. Our method generates a class of almost fully optimized functions, that is the functions apart from very high nonlinearity also have the maximum algebraic degree and optimal algebraic immunity. Compared to the classes of functions proposed by Carlet and Feng, Wang , and Zeng , our functions achieve a slightly better nonlinearity which is traded-off against a little worse resistance against fast algebraic attacks. On the other hand, compared to the functions by Tang and Tu and Deng, our nonlinearity is somewhat lower, but the algebraic properties are slightly better.	Algebraic immunity (AI);bent functions;fast algebraic cryptanalysis;partial spreads;projective geometry,Artificial intelligence;Boolean functions;Cryptography;FAA;Geometry;Resistance;Vectors,Boolean functions;cryptography;geometry;nonlinear functionsalgebraic attacks;algebraic cryptanalysis;algebraic properties;counting arguments;cryptographically significant Boolean functions;maximum algebraic degree;nonlinear Boolean functions;nonlinearity bounds;optimal algebraic immunity;optimized functions;projective geometry spaces							
415	AI for Location-Aware Applications		Introduction to Wireless Localization:With iPhone SDK Examples	20120719	This chapter introduces how location-aware application impacts our daily life activities. It also includes the implementation of an iPhone tourist guide application, to find a favorable dining place according to user preference.								
416	An optically pumped XeF(C-A) laser with repetitive rate of 10 Hz	Li, Yu; Lian-ying, Ma; Ai-ping, Yi; Chao, Huang; Feng, Zhu; Xiao-xia, An; Yan-long, Shen; Hang, Qian; Xin, Huang; Ke, Huang; Ying, Tang; Xi-sheng, Ye; Jing-ru, Liu	Review of Scientific Instruments	20120126	A novel XeF(C-A) laser which can be operated in repetition mode has been developed based on surface discharge optical pumping technique. Its maximum repetitive rate is up to 10 Hz. The influence of repetitive rate and gas flow rate on the stability of output energy is studied and the main factor which influences the stability of output energy is analyzed. The experimental results show that increasing the gas flow rate into laser chamber can improve the stability of the output energy. The ideal output energy results of 20 laser pulses under different repetitive rates and their optimal experimental conditions are presented. Output energies of more than 4 J and better stability can be obtained when the laser device operates at 1, 2, and 5 Hz, respectively. When the gas feed rate is larger than 53 l/s, the stability of output energy is improved obviously at the repetitive rate of 10 Hz, and the average energy of 20 laser pulses is up to 3.2 J.	gas lasers;optical pumping;xenon compounds4255Lt;4260By,							
